id,zanr
160692,Action Adventure
160692,Fantasy
160779,Sports
160779,Alternative
160779,Skateboarding
108362,Action Adventure
108362,Modern
108362,Open-World
160751,Action
160751,Fighting
160751,3D
108363,Action Adventure
108363,Modern
108363,Open-World
103279,Action
103279,Platformer
103279,3D
115127,Action
115127,Platformer
115127,3D
503269,Action Adventure
503269,Open-World
325931,Action Adventure
325931,Modern
325931,Open-World
183885,Modern
183885,Action Adventure
183885,Open-World
183886,Modern
183886,Action Adventure
183886,Open-World
160870,Sports
160870,Alternative
160870,Skateboarding
506409,Action Adventure
506409,Open-World
101642,Sports
101642,Alternative
101642,Skateboarding
160721,Action
160721,Shooter
160721,First-Person
160721,Sci-Fi
503268,Action Adventure
503268,Open-World
325927,Action Adventure
325927,Modern
325927,Open-World
160956,Action
160956,Shooter
160956,First-Person
160956,Sci-Fi
101503,Action Adventure
101503,Modern
506420,Action
506420,Platformer
506420,3D
161019,Action
161019,Shooter
161019,First-Person
161019,Sci-Fi
161974,Sports
161974,Traditional
161974,Football
161974,Sim
103028,Action
103028,Shooter
103028,First-Person
103028,Sci-Fi
103028,Arcade
325932,Modern
325932,Action Adventure
325932,Open-World
182391,Fantasy
182391,Action Adventure
182391,Open-World
107718,Action
107718,Shooter
107718,First-Person
107718,Sci-Fi
107718,Arcade
160677,Action
160677,Shooter
160677,First-Person
160677,Modern
113585,Action Adventure
113585,Modern
113585,Linear
161225,Action Adventure
161225,Horror
108735,Action
108735,Miscellaneous
108735,Shooter
108735,Compilation
108735,First-Person
108735,Sci-Fi
109675,Action
109675,Miscellaneous
109675,Shooter
109675,Compilation
109675,First-Person
109675,Sci-Fi
131112,Action Adventure
131112,Fantasy
131112,Open-World
160770,Action
160770,Fighting
160770,3D
111762,Role-Playing
111762,Action RPG
162532,Action Adventure
162532,Fantasy
167515,Role-Playing
167515,First-Person
167515,Western-Style
100055,Action
100055,Shooter
100055,First-Person
100055,Sci-Fi
100055,Arcade
105402,Action Adventure
105402,Horror
160999,Action Adventure
160999,Fantasy
160678,Driving
160678,Racing
160678,GT / Street
105294,Action
105294,Shooter
105294,First-Person
105294,Sci-Fi
105294,Arcade
102899,Action Adventure
102899,Modern
160994,Miscellaneous
160994,Compilation
101179,Role-Playing
101179,PC-style RPG
101179,Western-Style
103156,Action Adventure
103156,Modern
102338,Action Adventure
102338,Modern
109799,Action
109799,Platformer
109799,3D
109799,2D
162311,Action Adventure
